Year,Aggravated Assault Actual,Aggravated Assault Cleared,Homicide Actual,Homicide Cleared,Robbery Actual,Robbery Cleared,Violent Crime Actual,Violent Crime Cleared,Estimated National Violent Crime Total,Average Temperature,Minimum Temperature,Maximum Temperature,Household Median Income
1997,17316.0,8861.0,334.0,237.0,9868.0,2417.0,28727.0,12117.0,1636099,69.39,30,98,39037
1998,16381.0,7348.0,322.0,228.0,9186.0,2497.0,26985.0,10605.0,1533887,72.37,29,102,40690
1999,16279.0,8489.0,294.0,197.0,9916.0,2671.0,27659.0,11945.0,1426044,71.65,29,101,41466
2000,16243.0,8217.0,290.0,204.0,9726.0,2406.0,27494.0,11382.0,1425486,71.14,30,108,41220
2001,16970.0,8113.0,322.0,219.0,11678.0,2586.0,30362.0,11438.0,1439480,69.97,29,97,43279
2002,17634.0,8044.0,340.0,230.0,13441.0,3060.0,32786.0,11878.0,1423677,69.98,25,97,42704
2003,17378.0,7873.0,342.0,212.0,13308.0,2925.0,32302.0,11473.0,1383676,69.96,28,102,42262
2004,17783.0,7686.0,351.0,211.0,12572.0,2977.0,32178.0,11361.0,1360088,70.95,28,97,41922
2005,17359.0,7320.0,416.0,247.0,13544.0,2492.0,32695.0,10508.0,1390745,71.45,34,100,44085
2006,17747.0,7736.0,461.0,322.0,14176.0,2858.0,33760.0,11376.0,1435123,71.46,30,99,47159
2007,17491.0,5779.0,430.0,314.0,14038.0,2544.0,33199.0,9100.0,1422970,71.05,29,102,49977
2008,19335.0,8544.0,388.0,319.0,13573.5,3074.5,34573.5,12470.5,1394461,71.18,-1,104,52391
2009,19278.0,9496.0,401.0,264.0,14975.5,3329.5,35917.5,13598.5,1325896,71.15,27,103,50577
2010,17665.0,9559.0,364.0,295.0,13095.0,3035.0,32221.0,13400.0,1251248,69.83,21,99,50437
2011,16798.0,9183.0,284.0,237.0,10869.0,2538.0,29229.0,12524.0,1206031,72.45,23,105,50924
2012,16513.0,8119.0,310.0,212.0,12633.0,2495.0,30607.0,11287.0,1217057,72.6,31,102,51298
2013,16042.0,7884.0,333.0,210.0,13729.0,2561.0,31167.0,11053.0,1168298,70.36,31,105,52533
2014,16299.0,6334.0,325.0,225.0,14076.0,1912.0,32194.0,8788.0,1153022,69.6,25,98,54230
2015,16600.0,6885.0,404.0,236.0,14289.0,2466.0,32972.0,10156.0,1285606,71.34,30,104,56670
2016,18689.0,8512.0,409.0,229.0,13641.0,2464.0,34743.0,11955.0,1283220,72.91,32,99,56415
2017,20657.0,9974.0,376.0,194.0,13284.0,2278.0,36504.0,13182.0,1199310,73.29,23,102,58664
